start_time,start_time_sec,start_code,end_time,end_time_sec,end_code,state_code,state,bout_duration,hour,date_time,NREM_duration,NREM_bout,NREM_ave,NREM_percentage,REM_duration,REM_bout,REM_ave,REM_percentage,WAKE_duration,WAKE_bout,WAKE_ave,WAKE_percentage,INIT_duration,INIT_bout,INIT_ave,INIT_percentage
2024-01-14 07:00:10,0,1,2024-01-14 07:10:19,609,0,3,Wake,610,0,2024-01-14 07:00:10,2285.0,14.0,163.21,0.63,336.0,7.0,48.0,0.09,980.0,15.0,65.33,0.27,0.0,0.0,0.0,0.0
2024-01-14 07:10:20,610,1,2024-01-14 07:10:32,622,0,1,NREM,13,0,2024-01-14 08:00:10,2142.0,18.0,119.0,0.59,424.0,8.0,53.0,0.12,1034.0,18.0,57.44,0.29,0.0,0.0,0.0,0.0
2024-01-14 07:10:33,623,1,2024-01-14 07:13:49,819,0,3,Wake,197,0,2024-01-14 09:00:10,678.0,8.0,84.75,0.19,23.0,1.0,23.0,0.01,2899.0,7.0,414.14,0.81,0.0,0.0,0.0,0.0
2024-01-14 07:13:50,820,1,2024-01-14 07:14:04,834,0,1,NREM,15,0,2024-01-14 10:00:10,2744.0,16.0,171.5,0.76,638.0,9.0,70.89,0.18,218.0,15.0,14.53,0.06,0.0,0.0,0.0,0.0
2024-01-14 07:14:05,835,1,2024-01-14 07:14:19,849,0,3,Wake,15,0,2024-01-14 11:00:10,924.0,5.0,184.8,0.26,40.0,1.0,40.0,0.01,2636.0,4.0,659.0,0.73,0.0,0.0,0.0,0.0
2024-01-14 07:14:20,850,1,2024-01-14 07:20:19,1209,0,1,NREM,360,0,2024-01-14 12:00:10,2776.0,20.0,138.8,0.77,516.0,12.0,43.0,0.14,308.0,17.0,18.12,0.09,0.0,0.0,0.0,0.0
2024-01-14 07:20:20,1210,1,2024-01-14 07:20:56,1246,0,3,Wake,37,0,2024-01-14 13:00:10,1578.0,14.0,112.71,0.44,266.0,7.0,38.0,0.07,1756.0,14.0,125.43,0.49,0.0,0.0,0.0,0.0
2024-01-14 07:20:57,1247,1,2024-01-14 07:21:07,1257,0,1,NREM,11,0,2024-01-14 14:00:10,2762.0,18.0,153.44,0.77,530.0,10.0,53.0,0.15,308.0,17.0,18.12,0.09,0.0,0.0,0.0,0.0
2024-01-14 07:21:08,1258,1,2024-01-14 07:21:20,1270,0,3,Wake,13,0,2024-01-14 15:00:10,1794.0,12.0,149.5,0.5,403.0,6.0,67.17,0.11,1403.0,11.0,127.55,0.39,0.0,0.0,0.0,0.0
2024-01-14 07:21:21,1271,1,2024-01-14 07:25:00,1490,0,1,NREM,220,0,2024-01-14 16:00:10,2505.0,18.0,139.17,0.7,432.0,6.0,72.0,0.12,663.0,17.0,39.0,0.18,0.0,0.0,0.0,0.0
2024-01-14 07:25:01,1491,1,2024-01-14 07:25:11,1501,0,2,REM,11,0,2024-01-14 17:00:10,1745.0,10.0,174.5,0.48,270.0,4.0,67.5,0.07,1585.0,9.0,176.11,0.44,0.0,0.0,0.0,0.0
2024-01-14 07:25:12,1502,1,2024-01-14 07:25:21,1511,0,3,Wake,10,0,2024-01-14 18:00:10,2202.0,18.0,122.33,0.61,453.0,7.0,64.71,0.13,945.0,18.0,52.5,0.26,0.0,0.0,0.0,0.0
2024-01-14 07:25:22,1512,1,2024-01-14 07:28:47,1717,0,1,NREM,206,0,2024-01-14 19:00:10,515.0,4.0,128.75,0.14,0.0,0.0,0.0,0.0,3085.0,5.0,617.0,0.86,0.0,0.0,0.0,0.0
2024-01-14 07:28:48,1718,1,2024-01-14 07:29:19,1749,0,2,REM,32,0,2024-01-14 20:00:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,1.0,3600.0,1.0,0.0,0.0,0.0,0.0
2024-01-14 07:29:20,1750,1,2024-01-14 07:29:46,1776,0,3,Wake,27,0,2024-01-14 21:00:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,1.0,3600.0,1.0,0.0,0.0,0.0,0.0
2024-01-14 07:29:47,1777,1,2024-01-14 07:32:34,1944,0,1,NREM,168,0,2024-01-14 22:00:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,1.0,3600.0,1.0,0.0,0.0,0.0,0.0
2024-01-14 07:32:35,1945,1,2024-01-14 07:32:59,1969,0,2,REM,25,0,2024-01-14 23:00:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,1.0,3600.0,1.0,0.0,0.0,0.0,0.0
2024-01-14 07:33:00,1970,1,2024-01-14 07:33:08,1978,0,3,Wake,9,0,2024-01-15 00:00:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,1.0,3600.0,1.0,0.0,0.0,0.0,0.0
2024-01-14 07:33:09,1979,1,2024-01-14 07:36:11,2161,0,1,NREM,183,0,2024-01-15 01:00:10,2023.0,15.0,134.87,0.56,278.0,7.0,39.71,0.08,1299.0,15.0,86.6,0.36,0.0,0.0,0.0,0.0
2024-01-14 07:36:12,2162,1,2024-01-14 07:36:20,2170,0,3,Wake,9,0,2024-01-15 02:00:10,916.0,5.0,183.2,0.25,301.0,5.0,60.2,0.08,2383.0,6.0,397.17,0.66,0.0,0.0,0.0,0.0
2024-01-14 07:36:21,2171,1,2024-01-14 07:38:00,2270,0,1,NREM,100,0,2024-01-15 03:00:10,356.0,4.0,89.0,0.1,16.0,1.0,16.0,0.0,3228.0,5.0,645.6,0.9,0.0,0.0,0.0,0.0
2024-01-14 07:38:01,2271,1,2024-01-14 07:39:05,2335,0,2,REM,65,0,2024-01-15 04:00:10,666.0,4.0,166.5,0.18,149.0,4.0,37.25,0.04,2785.0,5.0,557.0,0.77,0.0,0.0,0.0,0.0
2024-01-14 07:39:06,2336,1,2024-01-14 07:39:13,2343,0,3,Wake,8,0,2024-01-15 05:00:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,1.0,3600.0,1.0,0.0,0.0,0.0,0.0
2024-01-14 07:39:14,2344,1,2024-01-14 07:39:29,2359,0,1,NREM,16,0,2024-01-15 06:00:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,1.0,3600.0,1.0,0.0,0.0,0.0,0.0
2024-01-14 07:39:30,2360,1,2024-01-14 07:40:44,2434,0,2,REM,75,0,2024-01-15 07:00:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,49.0,0.01,0.0,0.0,0.0,0.0
2024-01-14 07:40:45,2435,1,2024-01-14 07:40:54,2444,0,3,Wake,10,0,,,,,,,,,,,,,,,,,
2024-01-14 07:40:55,2445,1,2024-01-14 07:45:49,2739,0,1,NREM,295,0,,,,,,,,,,,,,,,,,
2024-01-14 07:45:50,2740,1,2024-01-14 07:46:00,2750,0,3,Wake,11,0,,,,,,,,,,,,,,,,,
2024-01-14 07:46:01,2751,1,2024-01-14 07:51:13,3063,0,1,NREM,313,0,,,,,,,,,,,,,,,,,
2024-01-14 07:51:14,3064,1,2024-01-14 07:52:50,3160,0,2,REM,97,0,,,,,,,,,,,,,,,,,
2024-01-14 07:52:51,3161,1,2024-01-14 07:52:58,3168,0,3,Wake,8,0,,,,,,,,,,,,,,,,,
2024-01-14 07:52:59,3169,1,2024-01-14 07:57:48,3458,0,1,NREM,290,0,,,,,,,,,,,,,,,,,
2024-01-14 07:57:49,3459,1,2024-01-14 07:58:19,3489,0,2,REM,31,0,,,,,,,,,,,,,,,,,
2024-01-14 07:58:20,3490,1,2024-01-14 07:58:29,3499,0,3,Wake,10,0,,,,,,,,,,,,,,,,,
2024-01-14 07:58:30,3500,1,2024-01-14 08:00:04,3594,0,1,NREM,95,0,,,,,,,,,,,,,,,,,
2024-01-14 08:00:05,3595,1,2024-01-14 08:00:10,3600,0,3,Wake,6,0,,,,,,,,,,,,,,,,,
2024-01-14 08:00:10,3600, ,2024-01-14 08:00:10,3600, ,5,MARKER,,1,,,,,,,,,,,,,,,,,
2024-01-14 08:00:11,3601,1,2024-01-14 08:09:14,4144,0,3,Wake,544,1,,,,,,,,,,,,,,,,,
2024-01-14 08:09:15,4145,1,2024-01-14 08:09:20,4150,0,1,NREM,6,1,,,,,,,,,,,,,,,,,
2024-01-14 08:09:21,4151,1,2024-01-14 08:12:08,4318,0,3,Wake,168,1,,,,,,,,,,,,,,,,,
2024-01-14 08:12:09,4319,1,2024-01-14 08:12:15,4325,0,1,NREM,7,1,,,,,,,,,,,,,,,,,
2024-01-14 08:12:16,4326,1,2024-01-14 08:12:33,4343,0,3,Wake,18,1,,,,,,,,,,,,,,,,,
2024-01-14 08:12:34,4344,1,2024-01-14 08:16:19,4569,0,1,NREM,226,1,,,,,,,,,,,,,,,,,
2024-01-14 08:16:20,4570,1,2024-01-14 08:16:32,4582,0,3,Wake,13,1,,,,,,,,,,,,,,,,,
2024-01-14 08:16:33,4583,1,2024-01-14 08:19:14,4744,0,1,NREM,162,1,,,,,,,,,,,,,,,,,
2024-01-14 08:19:15,4745,1,2024-01-14 08:20:11,4801,0,2,REM,57,1,,,,,,,,,,,,,,,,,
2024-01-14 08:20:12,4802,1,2024-01-14 08:20:19,4809,0,3,Wake,8,1,,,,,,,,,,,,,,,,,
2024-01-14 08:20:20,4810,1,2024-01-14 08:21:48,4898,0,1,NREM,89,1,,,,,,,,,,,,,,,,,
2024-01-14 08:21:49,4899,1,2024-01-14 08:21:56,4906,0,3,Wake,8,1,,,,,,,,,,,,,,,,,
2024-01-14 08:21:57,4907,1,2024-01-14 08:23:49,5019,0,1,NREM,113,1,,,,,,,,,,,,,,,,,
2024-01-14 08:23:50,5020,1,2024-01-14 08:25:06,5096,0,2,REM,77,1,,,,,,,,,,,,,,,,,
2024-01-14 08:25:07,5097,1,2024-01-14 08:25:23,5113,0,3,Wake,17,1,,,,,,,,,,,,,,,,,
2024-01-14 08:25:24,5114,1,2024-01-14 08:30:52,5442,0,1,NREM,329,1,,,,,,,,,,,,,,,,,
2024-01-14 08:30:53,5443,1,2024-01-14 08:31:01,5451,0,3,Wake,9,1,,,,,,,,,,,,,,,,,
2024-01-14 08:31:02,5452,1,2024-01-14 08:32:59,5569,0,1,NREM,118,1,,,,,,,,,,,,,,,,,
2024-01-14 08:33:00,5570,1,2024-01-14 08:34:03,5633,0,2,REM,64,1,,,,,,,,,,,,,,,,,
2024-01-14 08:34:04,5634,1,2024-01-14 08:34:12,5642,0,3,Wake,9,1,,,,,,,,,,,,,,,,,
